Day,DATE,SLEEP_SCORE,HOURS_OF_SLEEP,min,Minutes_of_sleep,REM_SLEEP,DEEP_SLEEP,HEART_RATE_BELOW_RESTING,SLEEP_TIME
Saturday,1/8/2022,83,7,37,457,0.12,0.17,0.98,11:04pm - 8:05am
Sunday,1/9/2022,87,7,47,467,0.2,0.12,0.98,11:13pm - 8:06am
Monday,1/10/2022,91,7,26,446,0.23,0.18,0.96,10:37pm - 7:09am
Tuesday,1/11/2022,85,6,59,419,0.31,0.24,0.71,11:29pm - 7:13am
Wednesday,1/12/2022,91,8,8,488,0.27,0.16,0.98,10:37pm - 7:26am
Thursday,1/13/2022,90,7,32,452,0.24,0.19,0.93,11:16pm - 7:35am
Friday,1/14/2022,84,7,10,430,0.25,0.17,0.86,10:59pm - 7:02am
Saturday,1/15/2022,83,7,14,434,0.23,0.18,0.68,11:47pm - 8:03am
Sunday,1/16/2022,87,7,26,446,0.19,0.15,0.86,10:49pm - 7:40am
Monday,1/17/2022,85,8,5,485,0.24,0.15,0.58,11:22pm - 8:27am
Tuesday,1/18/2022,82,7,12,432,0.21,0.19,0.72,11:04pm - 7:35am
Wednesday,1/19/2022,88,7,56,476,0.17,0.16,0.97,10:13pm - 7:02am
Thursday,1/20/2022,91,8,42,522,0.21,0.14,0.94,11:35pm - 9:04am
Friday,1/21/2022,84,6,28,388,0.21,0.15,0.96,11:54pm - 7:22am
Saturday,1/22/2022,85,8,4,484,0.22,0.17,0.57,10:47pm - 8:01am
Sunday,1/23/2022,87,8,4,484,0.26,0.23,0.54,11:50pm - 8:51am
Monday,1/24/2022,88,7,45,465,0.22,0.18,0.95,10:27pm - 7:32am
Tuesday,1/25/2022,86,7,39,459,0.2,0.19,0.74,10:08pm - 7:02am
Wednesday,1/26/2022,86,7,9,429,0.25,0.16,0.97,10:41pm - 6:35am
Thursday,1/27/2022,88,6,52,412,0.26,0.24,0.96,10:25pm - 6:07am
Friday,1/28/2022,91,7,42,462,0.2,0.18,0.92,10:20pm - 7:05am
Saturday,1/29/2022,87,7,37,457,0.22,0.2,0.57,11:49pm - 8:26am
Sunday,1/30/2022,80,8,27,507,0.12,0.12,0.71,10:27pm - 8:26am
Monday,1/31/2022,82,7,21,441,0.16,0.15,0.59,11:28pm - 7:50am
Day,DATE,SLEEP_SCORE,HOURS_OF_SLEEP,min,Minutes_of_sleep,REM_SLEEP,DEEP_SLEEP,HEART_RATE_BELOW_RESTING,SLEEP_TIME
Monday,11/1/2021,88,8,6,486,0.2,0.13,0.84,10:41pm - 7:54am
Tuesday,11/2/2021,83,7,57,477,0.12,0.18,0.9,10:40pm - 7:55am
Wednesday,11/3/2021,81,7,6,426,0.13,0.22,0.93,11:03pm - 7:16am
Thursday,11/4/2021,86,7,4,424,0.19,0.17,0.97,10:55pm - 6:56am
Friday,11/5/2021,81,9,24,564,0.17,0.15,0.66,10:14pm - 9:01am
Saturday,11/6/2021,77,8,19,499,0.14,0.13,0.21,11:21 - 8:45am
Sunday,11/7/2021,86,7,37,457,0.2,0.15,0.8,11:18pm - 6:57am
Monday,11/8/2021,81,6,46,406,0.16,0.17,0.89,11:50pm - 7:40am
Tuesday,11/9/2021,88,7,10,430,0.24,0.19,0.98,11:14pm - 7:16am
Wednesday,11/10/2021,84,7,16,436,0.21,0.17,0.96,11:16pm - 7:29am
Thursday,11/11/2021,85,6,52,412,0.19,0.21,0.97,10:47pm - 6:32am
Friday,11/12/2021,85,7,28,448,0.18,0.16,0.74,10:21pm - 6:47am
Saturday,11/13/2021,74,6,6,366,0.16,0.21,0.43,11:34pm - 6:51am
Sunday,11/14/2021,88,6,59,419,0.23,0.22,0.91,10:54pm - 6:48am
Monday,11/15/2021,87,7,19,439,0.21,0.22,0.96,10:45pm - 6:57am
Tuesday,11/16/2021,80,7,22,442,0.17,0.11,0.55,11-38pm - 8:23am
Wednesday,11/17/2021,78,6,57,417,0.15,0.14,0.67,11:50pm - 7:50am
